DT,Month,Day,Hour,Temperature,Humidity,WindSpeed,GeneralDiffuseFlows,DiffuseFlows,Zone1,Zone2,Zone3,MeanConsumption,DayOfWeek,Weekday,Week,Season,Year
2017-01-01 00:00:00,1,1,0,6.196833333333333,75.06666666666666,0.08183333333333333,0.0635,0.09883333333333333,29197.974683333334,18026.74772,19252.048193333332,22158.923532222223,6.0,0.0,52.0,1.0,2017
2017-01-01 01:00:00,1,1,1,5.5488333333333335,77.58333333333333,0.082,0.05683333333333334,0.1125,24657.21519,16078.419453333334,17042.89156666667,19259.508736666667,6.0,0.0,52.0,1.0,2017
2017-01-01 02:00:00,1,1,2,5.054333333333333,78.93333333333334,0.08233333333333333,0.063,0.12916666666666668,22083.037973333336,14330.699088333333,15676.144578333333,17363.29388,6.0,0.0,52.0,1.0,2017
2017-01-01 03:00:00,1,1,3,5.004333333333333,77.08333333333333,0.08283333333333333,0.05983333333333333,0.141,20811.13924,13219.452886666666,14883.855421666667,16304.815849444445,6.0,0.0,52.0,1.0,2017
2017-01-01 04:00:00,1,1,4,5.097666666666666,74.05,0.08233333333333333,0.057999999999999996,0.12283333333333334,20475.949366666668,12921.580546666666,14317.108433333333,15904.879448888889,6.0,0.0,52.0,1.0,2017
2017-01-01 05:00:00,1,1,5,4.741666666666666,75.23333333333333,0.081,0.06583333333333334,0.11883333333333333,20807.088606666668,13069.908815,14395.180721666666,16090.72604777778,6.0,0.0,52.0,1.0,2017
2017-01-01 06:00:00,1,1,6,4.571666666666666,75.75,0.08216666666666667,0.06166666666666667,0.1255,21648.607594999998,13596.352585,14513.734938333333,16586.23170611111,6.0,0.0,52.0,1.0,2017
2017-01-01 07:00:00,1,1,7,4.453833333333333,73.39999999999999,0.08266666666666667,0.0655,0.1195,18540.759495000002,11449.848023333334,11552.771085,13847.792867777776,6.0,0.0,52.0,1.0,2017
2017-01-01 08:00:00,1,1,8,4.655166666666667,73.60000000000001,0.08266666666666667,13.763833333333332,6.308666666666667,19605.06329,11738.601821666665,11190.361446666668,14178.008852777777,6.0,0.0,52.0,1.0,2017
2017-01-01 09:00:00,1,1,9,4.609166666666667,73.98333333333333,0.08216666666666667,144.79999999999998,25.215,22905.316455000004,13814.589666666667,13026.506023333333,16582.137381666667,6.0,0.0,52.0,1.0,2017
2017-01-01 10:00:00,1,1,10,6.145333333333333,69.635,3.7385,293.26666666666665,31.875,26685.56962,16232.82675,14801.927711666665,19240.10802722222,6.0,0.0,52.0,1.0,2017
2017-01-01 11:00:00,1,1,11,9.893333333333333,58.03666666666666,2.088166666666667,408.0833333333333,36.34166666666667,29288.101265,17772.036473333334,16000.963855,21020.367197777778,6.0,0.0,52.0,1.0,2017
2017-01-01 12:00:00,1,1,12,14.846666666666666,57.07833333333334,0.07566666666666666,478.84999999999997,40.20166666666667,29889.620255,18187.841946666667,16853.012048333334,21643.491416666668,6.0,0.0,52.0,1.0,2017
2017-01-01 13:00:00,1,1,13,15.68,57.071666666666665,0.07666666666666666,493.93333333333334,41.76166666666666,30231.898735,18378.115503333334,17298.313253333334,21969.442497222222,6.0,0.0,52.0,1.0,2017
2017-01-01 14:00:00,1,1,14,15.766666666666666,55.63666666666666,0.0765,451.4166666666667,41.483333333333334,29898.734176666665,18099.088144999998,16873.253013333335,21623.691778333334,6.0,0.0,52.0,1.0,2017
